RBI_State,RBI_District,Banking_Outlets,Census_2011_State,Census_2011_District,Direct_Census_Match
TELANGANA,JANGAON,32,ANDHRA PRADESH,WARANGAL,True
TELANGANA,JAYASHANKAR (BHUPALPALLI),21,TELANGANA,JAYASHANKAR (BHUPALPALLI),False
TELANGANA,JOGULAMBA (GADWAL),34,ANDHRA PRADESH,MAHBUBNAGAR,True
TELANGANA,KAMAREDDY,59,ANDHRA PRADESH,NIZAMABAD,True
TELANGANA,KARIMNAGAR,108,ANDHRA PRADESH,KARIMNAGAR,True
TELANGANA,KHAMMAM,116,ANDHRA PRADESH,KHAMMAM,True
TELANGANA,KOMRAM BHEEM (ASIFABAD),23,ANDHRA PRADESH,ADILABAD,True
TELANGANA,MAHABUBABAD,39,ANDHRA PRADESH,WARANGAL,True
TELANGANA,MAHBUBNAGAR,74,ANDHRA PRADESH,MAHBUBNAGAR,True
TELANGANA,MANCHERIAL,54,ANDHRA PRADESH,ADILABAD,True
TELANGANA,MEDAK,50,ANDHRA PRADESH,MEDAK,True
TELANGANA,MEDCHAL-MALKAJGIRI,427,ANDHRA PRADESH,RANGAREDDY,True
TELANGANA,MULUGU,21,TELANGANA,MULUGU,False
TELANGANA,NAGARKURNOOL,49,ANDHRA PRADESH,MAHBUBNAGAR,True
TELANGANA,NALGONDA,119,ANDHRA PRADESH,NALGONDA,True
TELANGANA,NARAYANPET,32,TELANGANA,NARAYANPET,False
TELANGANA,NIRMAL,42,ANDHRA PRADESH,ADILABAD,True
TELANGANA,NIZAMABAD,162,ANDHRA PRADESH,NIZAMABAD,True
TELANGANA,PEDDAPALLI,62,ANDHRA PRADESH,KARIMNAGAR,True
TELANGANA,RAJANNA(SIRCILLA),34,ANDHRA PRADESH,KARIMNAGAR,True
TELANGANA,RANGAREDDI,288,ANDHRA PRADESH,RANGAREDDY,True
TELANGANA,SANGAREDDY,127,ANDHRA PRADESH,MEDAK,True
TELANGANA,SIDDIPET,71,ANDHRA PRADESH,MEDAK,True
TELANGANA,SURYAPET,99,ANDHRA PRADESH,NALGONDA,True
TELANGANA,VIKARABAD,55,ANDHRA PRADESH,RANGAREDDY,True
TELANGANA,WANAPARTHY,36,ANDHRA PRADESH,MAHBUBNAGAR,True
TELANGANA,WARANGAL,61,ANDHRA PRADESH,WARANGAL,True
TELANGANA,YADADRI BHUVANAGIRI,56,ANDHRA PRADESH,NALGONDA,True
TRIPURA,DHALAI,23,TRIPURA,DHALAI,True
TRIPURA,GOMATI,24,TRIPURA,GOMATI,False
TRIPURA,KHOWAI,9,TRIPURA,KHOWAI,False
TRIPURA,NORTH TRIPURA,30,TRIPURA,NORTH TRIPURA,True
TRIPURA,SEPAHIJALA,18,TRIPURA,SEPAHIJALA,False
TRIPURA,SOUTH TRIPURA,28,TRIPURA,SOUTH TRIPURA,True
TRIPURA,UNAKOTI,7,TRIPURA,UNAKOTI,False
TRIPURA,WEST TRIPURA,121,TRIPURA,WEST TRIPURA,True
UTTAR PRADESH,AGRA,365,UTTAR PRADESH,AGRA,True
UTTAR PRADESH,ALIGARH,187,UTTAR PRADESH,ALIGARH,True
UTTAR PRADESH,AMBEDKAR NAGAR,110,UTTAR PRADESH,AMBEDKAR NAGAR,True
UTTAR PRADESH,AMETHI,114,UTTAR PRADESH,AMETHI,False
UTTAR PRADESH,AMROHA,65,UTTAR PRADESH,JYOTIBA PHULE NAGAR,True
UTTAR PRADESH,AURAIYA,66,UTTAR PRADESH,AURAIYA,True
UTTAR PRADESH,AYODHYA,151,UTTAR PRADESH,FAIZABAD,True
UTTAR PRADESH,AZAMGARH,209,UTTAR PRADESH,AZAMGARH,True
UTTAR PRADESH,BAGHPAT,109,UTTAR PRADESH,BAGHPAT,True
UTTAR PRADESH,BAHRAICH,90,UTTAR PRADESH,BAHRAICH,True
UTTAR PRADESH,BALLIA,121,UTTAR PRADESH,BALLIA,True
UTTAR PRADESH,BALRAMPUR,69,UTTAR PRADESH,BALRAMPUR,True
UTTAR PRADESH,BANDA,59,UTTAR PRADESH,BANDA,True
UTTAR PRADESH,BARA BANKI,133,UTTAR PRADESH,BARA BANKI,True
UTTAR PRADESH,BAREILLY,256,UTTAR PRADESH,BAREILLY,True
UTTAR PRADESH,BASTI,98,UTTAR PRADESH,BASTI,True
UTTAR PRADESH,BIJNOR,164,UTTAR PRADESH,BIJNOR,True
UTTAR PRADESH,BUDAUN,96,UTTAR PRADESH,BUDAUN,True
UTTAR PRADESH,BULANDSHAHR,190,UTTAR PRADESH,BULANDSHAHR,True
UTTAR PRADESH,CHANDAULI,97,UTTAR PRADESH,CHANDAULI,True
UTTAR PRADESH,CHITRAKOOT,32,UTTAR PRADESH,CHITRAKOOT,True
UTTAR PRADESH,DEORIA,129,UTTAR PRADESH,DEORIA,True
UTTAR PRADESH,ETAH,71,UTTAR PRADESH,ETAH,True
UTTAR PRADESH,ETAWAH,80,UTTAR PRADESH,ETAWAH,True
UTTAR PRADESH,FARRUKHABAD,58,UTTAR PRADESH,FARRUKHABAD,True
UTTAR PRADESH,FATEHPUR,102,UTTAR PRADESH,FATEHPUR,True
UTTAR PRADESH,FIROZABAD,107,UTTAR PRADESH,FIROZABAD,True
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,324,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,True
UTTAR PRADESH,GHAZIABAD,323,UTTAR PRADESH,GHAZIABAD,True
UTTAR PRADESH,GHAZIPUR,182,UTTAR PRADESH,GHAZIPUR,True
UTTAR PRADESH,GONDA,121,UTTAR PRADESH,GONDA,True
UTTAR PRADESH,GORAKHPUR,291,UTTAR PRADESH,GORAKHPUR,True
UTTAR PRADESH,HAMIRPUR,56,UTTAR PRADESH,HAMIRPUR,True
UTTAR PRADESH,HAPUR,105,UTTAR PRADESH,HAPUR,False
UTTAR PRADESH,HARDOI,164,UTTAR PRADESH,HARDOI,True
UTTAR PRADESH,HATHRAS,79,UTTAR PRADESH,MAHAMAYA NAGAR,True
UTTAR PRADESH,JALAUN,72,UTTAR PRADESH,JALAUN,True
UTTAR PRADESH,JAUNPUR,200,UTTAR PRADESH,JAUNPUR,True
UTTAR PRADESH,JHANSI,145,UTTAR PRADESH,JHANSI,True
UTTAR PRADESH,KANAUJ,69,UTTAR PRADESH,KANNAUJ,True
UTTAR PRADESH,KANPUR DEHAT,89,UTTAR PRADESH,KANPUR DEHAT,True
UTTAR PRADESH,KANPUR NAGAR,458,UTTAR PRADESH,KANPUR NAGAR,True
UTTAR PRADESH,KASGANJ,51,UTTAR PRADESH,KANSHIRAM NAGAR,True
UTTAR PRADESH,KAUSHAMBI,84,UTTAR PRADESH,KAUSHAMBI,True
UTTAR PRADESH,KHERI,168,UTTAR PRADESH,KHERI,True
UTTAR PRADESH,KUSHI NAGAR,115,UTTAR PRADESH,KUSHINAGAR,True
UTTAR PRADESH,LALITPUR,57,UTTAR PRADESH,LALITPUR,True
UTTAR PRADESH,LUCKNOW,727,UTTAR PRADESH,LUCKNOW,True
UTTAR PRADESH,MAHARAJGANJ,91,UTTAR PRADESH,MAHRAJGANJ,True
UTTAR PRADESH,MAHOBA,39,UTTAR PRADESH,MAHOBA,True
UTTAR PRADESH,MAINPURI,68,UTTAR PRADESH,MAINPURI,True
UTTAR PRADESH,MATHURA,226,UTTAR PRADESH,MATHURA,True
UTTAR PRADESH,MAU,98,UTTAR PRADESH,MAU,True
UTTAR PRADESH,MEERUT,343,UTTAR PRADESH,MEERUT,True
UTTAR PRADESH,MIRZAPUR,123,UTTAR PRADESH,MIRZAPUR,True
UTTAR PRADESH,MORADABAD,140,UTTAR PRADESH,MORADABAD,True
UTTAR PRADESH,MUZAFFARNAGAR,199,UTTAR PRADESH,MUZAFFARNAGAR,True
UTTAR PRADESH,PILIBHIT,104,UTTAR PRADESH,PILIBHIT,True
UTTAR PRADESH,PRATAPGARH,131,UTTAR PRADESH,PRATAPGARH,True
UTTAR PRADESH,PRAYAGRAJ,358,UTTAR PRADESH,ALLAHABAD,True
UTTAR PRADESH,RAI BARELI,192,UTTAR PRADESH,RAE BARELI,True
UTTAR PRADESH,RAMPUR,100,UTTAR PRADESH,RAMPUR,True
UTTAR PRADESH,SAHARANPUR,223,UTTAR PRADESH,SAHARANPUR,True
UTTAR PRADESH,SAMBHAL,60,UTTAR PRADESH,SAMBHAL,False
UTTAR PRADESH,SANT KABIR NAGAR,59,UTTAR PRADESH,SANT KABIR NAGAR,True
UTTAR PRADESH,SANT RAVIDAS NAGAR,81,UTTAR PRADESH,SANT RAVIDAS NAGAR (BHADOHI),True
UTTAR PRADESH,SHAHJAHANPUR,154,UTTAR PRADESH,SHAHJAHANPUR,True
UTTAR PRADESH,SHAMLI,75,UTTAR PRADESH,SHAMLI,False
UTTAR PRADESH,SHRAVASTI,37,UTTAR PRADESH,SHRAWASTI,True
UTTAR PRADESH,SIDHARTHANAGAR,83,UTTAR PRADESH,SIDDHARTHNAGAR,True
UTTAR PRADESH,SITAPUR,136,UTTAR PRADESH,SITAPUR,True
UTTAR PRADESH,SONBHADRA,109,UTTAR PRADESH,SONBHADRA,True
UTTAR PRADESH,SULTANPUR,90,UTTAR PRADESH,SULTANPUR,True
UTTAR PRADESH,UNNAO,132,UTTAR PRADESH,UNNAO,True
UTTAR PRADESH,VARANASI,351,UTTAR PRADESH,VARANASI,True
UTTARAKHAND,ALMORA,83,UTTARAKHAND,ALMORA,True
UTTARAKHAND,BAGESHWAR,28,UTTARAKHAND,BAGESHWAR,True
UTTARAKHAND,CHAMOLI,57,UTTARAKHAND,CHAMOLI,True
UTTARAKHAND,CHAMPAWAT,35,UTTARAKHAND,CHAMPAWAT,True
UTTARAKHAND,DEHRA DUN,411,UTTARAKHAND,DEHRADUN,True
UTTARAKHAND,GARHWAL,111,UTTARAKHAND,GARHWAL,True
UTTARAKHAND,HARIDWAR,194,UTTARAKHAND,HARDWAR,True
UTTARAKHAND,NAINITAL,143,UTTARAKHAND,NAINITAL,True
UTTARAKHAND,PITHORAGARH,55,UTTARAKHAND,PITHORAGARH,True
UTTARAKHAND,RUDRAPRAYAG,33,UTTARAKHAND,RUDRAPRAYAG,True
UTTARAKHAND,TEHRI GARHWAL,80,UTTARAKHAND,TEHRI GARHWAL,True
UTTARAKHAND,UDHAM SINGH NAGAR,192,UTTARAKHAND,UDHAM SINGH NAGAR,True
UTTARAKHAND,UTTAR KASHI,42,UTTARAKHAND,UTTARKASHI,True
WEST BENGAL,ALIPURDUAR,59,WEST BENGAL,ALIPURDUAR,False
WEST BENGAL,BANKURA,168,WEST BENGAL,BANKURA,True
WEST BENGAL,BIRBHUM,172,WEST BENGAL,BIRBHUM,True
WEST BENGAL,DAKSHIN DINAJPUR,62,WEST BENGAL,DAKSHIN DINAJPUR,True
WEST BENGAL,DARJILING,165,WEST BENGAL,DARJILING,True
WEST BENGAL,HAORA,285,WEST BENGAL,HAORA,True
WEST BENGAL,HUGLI,361,WEST BENGAL,HUGLI,True
WEST BENGAL,JALPAIGURI,131,WEST BENGAL,JALPAIGURI,True
WEST BENGAL,JHARGRAM,80,WEST BENGAL,JHARGRAM,False
WEST BENGAL,KALIMPONG,19,WEST BENGAL,KALIMPONG,False
WEST BENGAL,KOCH BIHAR,117,WEST BENGAL,KOCH BIHAR,True
WEST BENGAL,KOLKATA,913,WEST BENGAL,KOLKATA,True
WEST BENGAL,MALDAH,136,WEST BENGAL,MALDAH,True
WEST BENGAL,MURSHIDABAD,274,WEST BENGAL,MURSHIDABAD,True
WEST BENGAL,NADIA,235,WEST BENGAL,NADIA,True
WEST BENGAL,NORTH 24 PARGANAS,651,WEST BENGAL,NORTH TWENTY FOUR PARGANAS,True
WEST BENGAL,PASCHIM BARDHAMAN,250,WEST BENGAL,PASCHIM BARDHAMAN,False
WEST BENGAL,PASCHIM MEDINIPUR,270,WEST BENGAL,PASCHIM MEDINIPUR,True
WEST BENGAL,PURBA BARDHAMAN,274,WEST BENGAL,BARDDHAMAN,True
WEST BENGAL,PURBA MEDINIPUR,240,WEST BENGAL,PURBA MEDINIPUR,True
WEST BENGAL,PURULIYA,130,WEST BENGAL,PURULIYA,True
WEST BENGAL,SOUTH 24 PARGANAS,353,WEST BENGAL,SOUTH TWENTY FOUR PARGANAS,True
WEST BENGAL,UTTAR DINAJPUR,87,WEST BENGAL,UTTAR DINAJPUR,True
PUDUCHERRY,KARAIKAL,23,PUDUCHERRY,KARAIKAL,True
PUDUCHERRY,MAHE,9,PUDUCHERRY,MAHE,True
PUDUCHERRY,PUDUCHERRY,68,PUDUCHERRY,PUDUCHERRY,True
PUDUCHERRY,YANAM,7,PUDUCHERRY,YANAM,True
