State,District,Population,State_Match,District_Match,Banking_Outlets,Population_per_Bank,Banking_Access_Rank,Banking_Access_Category,Expected_Banking_Outlets,Banking_Outlet_Gap,Banking_Gap_Priority
TRIPURA,SOUTH TRIPURA,876001,TRIPURA,SOUTH TRIPURA,28,31285.75,67.0,Very High Population per Bank,61.27,33.27,Moderate Priority
UTTAR PRADESH,BALRAMPUR,2148665,UTTAR PRADESH,BALRAMPUR,69,31140.072463768116,68.0,Very High Population per Bank,150.27,81.27,Very High Priority
UTTAR PRADESH,KUSHINAGAR,3564544,UTTAR PRADESH,KUSHI NAGAR,115,30996.034782608695,69.0,Very High Population per Bank,249.29,134.29,Very High Priority
UTTAR PRADESH,CHITRAKOOT,991730,UTTAR PRADESH,CHITRAKOOT,32,30991.5625,70.0,Very High Population per Bank,69.36,37.36,High Priority
MADHYA PRADESH,SATNA,2228935,MADHYA PRADESH,SATNA,72,30957.430555555555,71.0,Very High Population per Bank,155.89,83.89,Very High Priority
BIHAR,SARAN,3951862,BIHAR,SARAN,128,30873.921875,72.0,Very High Population per Bank,276.38,148.38,Very High Priority
UTTAR PRADESH,SIDDHARTHNAGAR,2559297,UTTAR PRADESH,SIDHARTHANAGAR,83,30834.90361445783,73.0,Very High Population per Bank,178.99,95.99,Very High Priority
MAHARASHTRA,BID,2585049,MAHARASHTRA,BID,84,30774.39285714286,74.0,Very High Population per Bank,180.79,96.79,Very High Priority
ASSAM,KARIMGANJ,1228686,ASSAM,SRIBHUMI,40,30717.15,75.0,Very High Population per Bank,85.93,45.93,High Priority
UTTAR PRADESH,BANDA,1799410,UTTAR PRADESH,BANDA,59,30498.474576271186,76.0,Very High Population per Bank,125.85,66.85,High Priority
RAJASTHAN,JALOR,1828730,RAJASTHAN,JALOR,60,30478.833333333332,77.0,Very High Population per Bank,127.9,67.9,Very High Priority
UTTAR PRADESH,SHRAWASTI,1117361,UTTAR PRADESH,SHRAVASTI,37,30198.945945945947,78.0,Very High Population per Bank,78.15,41.15,High Priority
MAHARASHTRA,HINGOLI,1177345,MAHARASHTRA,HINGOLI,39,30188.333333333332,79.0,Very High Population per Bank,82.34,43.34,High Priority
BIHAR,SAHARSA,1900661,BIHAR,SAHARSA,63,30169.222222222223,80.0,Very High Population per Bank,132.93,69.93,Very High Priority
BIHAR,MADHEPURA,2001762,BIHAR,MADHEPURA,67,29877.044776119405,81.0,Very High Population per Bank,140.0,73.0,Very High Priority
BIHAR,SIWAN,3330464,BIHAR,SIWAN,112,29736.285714285714,82.0,Very High Population per Bank,232.92,120.92,Very High Priority
MADHYA PRADESH,SIDHI,1127033,MADHYA PRADESH,SIDHI,38,29658.763157894737,83.0,Very High Population per Bank,78.82,40.82,High Priority
